wallet_address,unique_tokens,avg_trade_size,contrarian_score,fomo_resistance,rationality_confidence,anchoring_resistance,herding_resistance,network_influence_score,independent_decision_ratio,entry_timing_score,exit_timing_score,timing_intelligence_composite
0x00000000000947821264914ad2c75f871aa2d026,6937,510.2513454,0.509009009,0.812584729,0.733283521,0.424996806,0.968787389,27.73664568,0.770959232,0.656309678,0.985923634,0.793709852
0x0000000008eb6fbf5fa81ce1f058a30437660055,8,14643.15862,,,,,,,,,,
0x000000ffa51e8fd8dc15c5b77990234810a640e8,795,906.2538017,0.467569494,0.812493516,0.926905389,0.44055364,0.968899077,11.79712238,0.710599535,0.794767195,0.618352135,0.717109754
0x00000b700c8e682938856c866b5bd09d32eefb3b,921,1740.771392,0.501937984,0.8059319,0.66341484,0.327436778,0.970680709,28.1,0.8243114,0.403498508,0.561369832,0.570680262
0x00000cd8d737fdaba0b5118964db92699436f6af,1143,2239.571163,0.517304189,0.80706875,0.723397358,0.393786619,0.967007311,18.7,0.567588721,0.622881943,1,0.793132354
0x00236feeac26ef92552e3981096350d136084c64,65,59650.09743,0.454545455,0.616169445,0.897910717,0.484194171,0.933266966,9.1,0.542520704,0,0.5768293,0.690782309
0x005fde5294199d5c3eb5eb7a6e51954123b74b1c,36,5817.7164,0.515812432,0.843590516,0.839984011,0.445185511,0.960928241,24.1,0.582596685,1,0.583416934,0.774091703
0x00827591a0970712fa0ec1171cf674b4e24de589,22,19901.60051,,,,,,,,,,
0x008300082c3000009e63680088f8c7f4d3ff2e87,1226,18523.19521,0.516429354,0.596003191,0.590278914,0.486476258,0.964600762,27.7,0.908446074,0,0.708820215,0.736892436
0x0087c5900b9bbc051b5f6299f5bce92383273b28,34,5664.96449,0.482406356,0.851958324,0.858609535,0.460461634,0.962880553,24.3,0.572695782,1,0.590045009,0.771794076
0x008f10e2139abe2025964326dea823d05f8c1b69,4,406575.2978,,,,,,8.1,0.55,0.477652412,0,0.663553865
0x00a06cf509dcf73fa366d25c65489c0097dbac05,109,23984.40541,0.544804838,0.727646359,0.713135243,0.301831462,0.952417779,24.5,0.449263595,0.366585674,1,0.706719418
0x00a2aebc7e233cd2ffe5ab5856f90f0ad2fa3ccd,36,5725.241737,0.461279461,0.809425807,0.870707183,0.438007321,0.957898015,27.1,0.804169955,1,0.578038353,0.770739242
0x00d2f4eb459bd4f7b175fd0cec578229bfa3bde7,1069,4802.875728,0.523809524,0.642511961,0.857967984,0.499554034,0.938450421,10.1171371,0.625268817,0.610262711,0.580688741,0.675853461
0x00d6c72a127c5ba50d81b2b8fb2461263c07698e,12,36672.67389,0.466666667,0.869351248,0.854192645,0.477384868,0.924328784,10.43680556,0.682098765,0.468150822,0.333628949,0.505718013
0x00dee1f836998bcc736022f314df906588d44808,33,6184.414604,,,,,,27.34423836,0.736753486,1,0.589726203,0.771492389
0x0135d27e85cfe97ee9e3b9e4047ee6022ec365f0,21,20482.5968,,,,,,,,,,
0x0156a98f1b82045c10cab22a0640f808fe21beea,13,30704.97675,0.625,0.843260819,0.872063729,0.471833122,0.966753928,8.1,0.574234234,0.752783982,0.240034945,0.574621917
0x01b140124236ac7b838bc31b8ae053134359660c,23,211448.861,0.333333333,0.616423387,0.856140651,0.440982053,0.985501431,5.1,0.074934383,0,1,0.854803802
0x01d7266d668ab1f53ae50b53f882c74f9fa18499,17,101279.712,0.714285714,0.641098869,0.68278859,2.22E-16,0.952452786,5.7,0.272280402,0.379682786,0.595123055,0.57553824
0x01f78f128f09034744d2847cc8d5939719285527,14,464682.0651,0.25,0.61890142,0.69926012,0,0.981725932,8.5,0.420289855,0.386551767,0.472859016,0.543990391
0x020a11ba21b622196713d84b1201747900717736,22,46261.34483,0.560606061,0.868257567,0.865639333,0.484284793,0.950217219,11.1,0.847960993,0.386135325,1,0.715810789
0x029a5d9914cd331ae1b3efd3b5d1931e2a6dc56f,12,151567.6212,,,,,,,,,,
0x02eca8cc78b7d30c1ac5e16988ed2c8a9da658d6,21,249815.4876,0.75,0.606840585,0.720918034,0.498274686,0.965711087,27.36481855,0.740412186,0.202092058,0.878895645,0.619462052
0x032c61b5b65743364f60ab3f70181c25653e493a,32,26298.75059,0.446153846,0.831845837,0.876534373,0.474997763,0.970868015,10.57869759,0.707324017,0,0.202764067,0.456794418
0x0364aabefc13885f05d8ca86cbe3e564cd07f6f1,141,9137.353511,0.55,0.744286569,0.83012233,0.486277937,0.968898491,5.3,0.150252329,0.948387055,0.491124173,0.735304417
0x03c558aee40a9fced1cabe9b465bae8096e05230,1283,24897.8907,0.492242595,0.852487224,0.991744746,0.430993325,0.961833465,27.48636444,0.762020344,0,0.804233924,0.780382017
0x03d9c4e0840626354d395c01ad5514fede8c7f8c,51,5860.13769,,,,,,,,,,
0x03eb1a4329f633a4e6c1d9564fc14561f2aa7f37,26,50078.32508,0.76,0.688020764,0.85274457,0.465795209,0.975956448,10.62071221,0.714793282,0.986882168,0,0.839393464
0x0427f5625b22a746835364b07144e5e0077006a1,27,23452.30096,0.516713092,0.813764282,0.763234501,0.460090657,0.948017368,8.3,0.428497718,0.446962067,0.452534601,0.558632076
0x042998bc6b5d683a58b86f4dee0c9ffc64b35267,54,10432.68172,0.478957916,0.894808975,0.699843366,0.486585927,0.961554889,8.1,0.433728214,0.565227518,0.444731833,0.588494568
0x042fad5e68794988146c446ef2a11abf069dcbca,11,58031.77698,0.481481481,0.828837055,0.766308288,0.498356284,0.963637988,5.1,0.070833333,0,0.283558097,0.525864737
0x043b16c52b7d6bb2c401390943b9723a69bd31ad,24,63962.18173,0.448275862,0.6558194,0.736254987,0.493952452,0.963305693,8.1,0.326808786,0,1,0.891349777
0x0477c2b67d25370a6defb63a2a890ee9b72d5be2,91,10721.94622,0.485465116,0.857213054,0.666707189,0.472539097,0.964200328,8.1,0.558362286,0.569074629,0.465405989,0.597904109
0x048aec9db462dadb5a493873aa37c231440dc698,18,156976.7569,0.384615385,0.626539709,0.826690714,0.499953787,0.978330985,8.1,0.59139652,0.772674182,0.582022916,0.716040953
0x04b89dbce06e7aa2f4bba78969add4576eb94788,1065,13651.86113,0.534934498,0.822167783,0.699677336,0.40030648,0.963118508,26.46893507,0.652255123,0,0.960053424,0.856582044
0x04bbc4cb29632bb28296cdbabca6eef5bb162a41,22,20209.80994,,,,,,,,,,
0x04c1c643c77aedf4cb98980c3c94fc890d399d62,59,11042.89339,0.504830918,0.900618333,0.67574083,0.474318948,0.961596647,8.1,0.432608675,0.585482202,0.423549775,0.587161699
0x04c62b449056d592474830d647d25451ee9c5f40,553,26663.41623,0.439655172,0.856792895,0.999179969,0.475876566,0.955827488,24.3,0.535308482,0,0.829447104,0.793002593
0x04d50544ecd418a9c233fdc5b107592ea43600aa,4,267012.3597,,,,,,,,,,
0x052ecfff1158fa78706d9709c8ddf36744369245,86,6939.898856,0.476890459,0.701595429,0.674481244,0.461748809,0.974404301,26.6908259,0.727257937,0.543934424,0.526053209,0.605637215
0x0531354b1bbc263081ae5a8900d7c787ce5abc19,18,207050.6103,0.666666667,0.6248148,0.691525561,0.484681705,0.896927759,8.5,0.547777778,0.606785428,0.576135572,0.657012933
0x05391a4b0749c29335024f41552a56cfa6bd3883,28,193630.3436,0.25,0.597272357,0.84003369,0,0.978307771,5.1,0.217222964,0.045482502,1,0.603538149
0x0561e77b2da51d0496eaeff8eefa12b99b42b71b,18,170597.4089,0.571428571,0.600553485,0.778668642,0.499219008,0.993028439,8.1,0.393568841,0.447313687,0.608426057,0.638123618
0x058bbff7be9d3cb50cdb9e6f6929f023f2763b98,19,477301.9095,0.212121212,0.789235663,0.730023544,0.499739371,0.988764517,8.1,0.437437186,0.193512714,0.52545029,0.469392486
0x05a94a8dd7eb1ba5b1114cc5ef18855a221ac317,108,18367.47262,,,,,,,,,,
0x05b99ead937e89c549dc54ea6c879d5e4ff2dd74,4,65797580.57,,,,,,,,,,
0x05cd9660d3ff4d4de8ddfb139819595795a5e01f,88,16381.18212,,,,,,,,,,
0x05ebcce3895901f82e3c37cc39b46431ae4b5fa8,25,21835.64037,,,,,,,,,,
0x05f7531563b7d42f2776bf848da0568af916665b,14,63270.2237,0.34375,0.765837999,0.824759948,0.479101821,0.915365159,10.05381181,0.614010989,0,1,0.87211375
0x061979019711fd0c9ef93510a996f770a9fc7b60,129,8976.398201,0.565217391,0.893384508,0.815666696,0.479798703,0.967677557,5.1,0.221974206,0.802419304,0.499838388,0.676375955
