wallet_address,amount_usd_std,token_bought_symbol_nunique,token_sold_symbol_nunique,dex_name_nunique,avg_trades_per_day,trade_size_cv,hdbscan_cluster_id,hdbscan_cluster_probability,hdbscan_is_noise,hdbscan_cluster_size,lstm_feature_0,lstm_feature_1,lstm_feature_2,lstm_feature_3,lstm_feature_4,lstm_feature_5,lstm_feature_6,lstm_feature_7,lstm_feature_8,lstm_feature_9,lstm_feature_10,lstm_feature_11,lstm_feature_12,lstm_feature_13,lstm_feature_14,lstm_feature_15,lstm_feature_mean,lstm_feature_std,lstm_feature_max,lstm_feature_min,gat_feature_0,gat_feature_1,gat_feature_2,gat_feature_3,gat_feature_4,gat_feature_5,gat_feature_6,gat_feature_7,gat_feature_8,gat_feature_9,gat_feature_10,gat_feature_11,gat_feature_12,gat_feature_13,gat_feature_14,gat_feature_15,gat_feature_mean,gat_feature_std,gat_feature_max,gat_feature_min
0x00000000000947821264914ad2c75f871aa2d026,1452.691528,123,139,2,14.13953488,3.128197066,2,0.523815294,0,89,-3.88E-06,5.90E-06,-9.75E-06,2.11E-06,-2.60E-10,-2.09E-05,6.10E-06,-1.95E-07,7.33E-06,2.41E-05,1.24E-06,4.45E-07,-1.41E-06,-3.09E-07,-2.07E-08,-2.67E-07,6.58E-07,9.14E-06,2.41E-05,-2.09E-05,0.993320704,-0.751083553,-0.596191227,-1.279710412,0.07686159,0.091780663,-0.386034369,-0.400012314,0.446862996,0.421562791,0.08443886,0.079091996,0.085436612,0.705723047,0.932151258,0.088990092,0.037074296,0.612004564,0.993320704,-1.279710412
0x000000ffa51e8fd8dc15c5b77990234810a640e8,6480.372748,55,53,1,10.96629213,6.49910545,2,0.781840412,0,89,1.32E-06,-3.44E-05,6.70E-09,1.08E-05,2.73E-06,-5.11E-08,-1.69E-09,2.82E-08,-4.77E-06,-6.07E-06,-5.54E-07,-1.21E-06,-3.84E-08,-1.23E-06,2.79E-05,2.63E-07,-3.32E-07,1.20E-05,2.79E-05,-3.44E-05,0.40658471,-0.881550193,-0.190914631,-0.240402788,0.389306486,-0.742388725,-0.009032607,0.222367302,-0.405551821,-0.662984252,-1.540482998,0.3077932,0.013436168,0.988536358,0.071318269,-0.255475879,-0.158090088,0.606004253,0.988536358,-1.540482998
0x00000b700c8e682938856c866b5bd09d32eefb3b,7291.167344,145,139,1,22.74,2.893700741,0,1,0,446,-3.88E-06,5.90E-06,-9.75E-06,2.11E-06,-2.60E-10,-2.09E-05,6.10E-06,-1.95E-07,7.33E-06,2.41E-05,1.24E-06,4.45E-07,-1.41E-06,-3.09E-07,-2.07E-08,-2.67E-07,6.58E-07,9.14E-06,2.41E-05,-2.09E-05,-0.34657979,0.312116861,0.36076951,-0.315432906,0.076476097,-0.925614357,-0.327826023,0.052128028,0.05914259,-0.701477706,0.689464986,0.119377591,0.086952806,-0.515167475,-0.35685724,-0.601452589,-0.145873726,0.434108352,0.689464986,-0.925614357
0x00000cd8d737fdaba0b5118964db92699436f6af,12733.44698,87,87,1,15.6056338,2.375739468,0,1,0,446,3.18E-06,2.39E-06,-7.51E-07,-9.77E-06,-2.41E-06,1.38E-06,9.61E-08,-2.98E-07,-1.33E-05,6.45E-07,3.14E-06,5.52E-05,4.32E-06,2.84E-05,2.75E-06,2.56E-06,4.85E-06,1.60E-05,5.52E-05,-1.33E-05,0.110698462,-0.832193613,-0.209440216,0.959653735,0.010902882,1.262144208,0.831065655,-0.539095998,1.065430403,-0.981636167,-0.359728694,0.335188627,0.257910579,-0.436194867,0.233242601,0.66364038,0.148224249,0.682378568,1.262144208,-0.981636167
0x00236feeac26ef92552e3981096350d136084c64,65729.97687,8,9,5,1.25,2.471303425,1,0.927804755,0,587,5.70E-06,-2.87E-05,-7.90E-06,-5.48E-06,3.04E-06,1.72E-05,-2.32E-06,-1.98E-05,4.19E-06,-3.54E-06,2.65E-06,2.47E-06,7.04E-06,3.11E-05,-2.40E-06,2.50E-05,1.76E-06,1.48E-05,3.11E-05,-2.87E-05,0.07197845,-0.303744912,0.449870855,-0.33740288,0.124967963,-0.457004786,0.041758895,-0.220955282,-0.510723829,-0.010938644,-0.08394438,0.827372015,-0.571748853,0.751318812,0.156121343,-0.211188167,-0.017766463,0.41605705,0.827372015,-0.571748853
0x005fde5294199d5c3eb5eb7a6e51954123b74b1c,2785.409016,7,7,1,5.435294118,2.437639969,-1,0,1,10,1.13E-06,1.53E-06,1.20E-06,3.88E-06,4.62E-05,3.86E-07,-1.89E-05,-8.54E-07,1.76E-07,-3.11E-06,-4.12E-06,-5.39E-05,-6.48E-07,1.47E-06,9.73E-06,-1.51E-05,-1.93E-06,1.95E-05,4.62E-05,-5.39E-05,-0.043363988,0.993862033,0.610358953,0.940725446,0.394512177,1.623258352,-1.053210378,-1.49173367,1.28578949,0.58118403,-1.782229185,-1.588423848,-0.736052275,1.562915802,0.127372071,0.994861662,0.151239167,1.145635597,1.623258352,-1.782229185
0x008300082c3000009e63680088f8c7f4d3ff2e87,103671.486,76,81,2,54.68181818,3.742100498,0,1,0,446,1.32E-06,-3.44E-05,6.70E-09,1.08E-05,2.73E-06,-5.11E-08,-1.69E-09,2.82E-08,-4.77E-06,-6.07E-06,-5.54E-07,-1.21E-06,-3.84E-08,-1.23E-06,2.79E-05,2.63E-07,-3.32E-07,1.20E-05,2.79E-05,-3.44E-05,0.596283793,-0.718616486,-0.065275073,-0.052416325,1.361189961,0.724982977,0.377239466,-0.268688083,0.046977878,0.45503211,0.002125055,0.527066112,-0.131688848,-0.614653826,-0.294812441,-0.900502801,0.065265217,0.587865413,1.361189961,-0.900502801
0x0087c5900b9bbc051b5f6299f5bce92383273b28,2179.547203,9,7,1,5.49382716,1.942820018,-1,0,1,10,-3.88E-06,5.90E-06,-9.75E-06,2.11E-06,-2.60E-10,-2.09E-05,6.10E-06,-1.95E-07,7.33E-06,2.41E-05,1.24E-06,4.45E-07,-1.41E-06,-3.09E-07,-2.07E-08,-2.67E-07,6.58E-07,9.14E-06,2.41E-05,-2.09E-05,2.167422533,0.937577724,0.04867617,0.513010681,-0.362284124,1.294706225,1.218252182,0.218229711,1.15465951,1.543817401,-0.878755271,-1.45040524,0.198050678,-0.784504652,-0.585914135,0.11121802,0.333984838,0.999989925,2.167422533,-1.45040524
0x008f10e2139abe2025964326dea823d05f8c1b69,329835.8796,1,1,1,1.363636364,0.748946424,0,1,0,446,3.18E-06,2.39E-06,-7.51E-07,-9.77E-06,-2.41E-06,1.38E-06,9.61E-08,-2.98E-07,-1.33E-05,6.45E-07,3.14E-06,5.52E-05,4.32E-06,2.84E-05,2.75E-06,2.56E-06,4.85E-06,1.60E-05,5.52E-05,-1.33E-05,-0.665393472,0.460671067,0.126012564,0.931054592,-0.240357876,0.224051818,-0.120527685,-0.655314028,0.559548795,0.120186925,-0.188208967,-0.67606771,-0.418564916,0.747156084,-0.254178941,0.278388798,0.014278566,0.502125919,0.931054592,-0.67606771
0x00a06cf509dcf73fa366d25c65489c0097dbac05,66951.64999,36,45,1,25.45454545,2.784465843,5,0.784893923,0,9,5.70E-06,-2.87E-05,-7.90E-06,-5.48E-06,3.04E-06,1.72E-05,-2.32E-06,-1.98E-05,4.19E-06,-3.54E-06,2.65E-06,2.47E-06,7.04E-06,3.11E-05,-2.40E-06,2.50E-05,1.76E-06,1.48E-05,3.11E-05,-2.87E-05,0.177081823,-0.38263303,0.642991483,0.506508231,1.48345232,-0.280404091,0.425857306,0.49260962,-0.43341589,0.507514596,0.078746051,0.287114501,-0.079279825,-0.481746703,-0.285725713,-1.075174332,0.098968522,0.600242982,1.48345232,-1.075174332
